date,Afghanistan,Armenia,Azerbaijan,Bangladesh,Belarus,Benin,Bhutan,Brazil,Burkina Faso,Burundi,Cameroon,Cape Verde,Chad,Chile,China,Colombia,Costa Rica,Democratic Republic of the Congo,Dominican Republic,Egypt,El Salvador,Eritrea,Ethiopia,Gabon,Georgia,Ghana,Guatemala,Guinea,Haiti,India,Indonesia,Kyrgyzstan,Lao People's Democratic Republic,Lesotho,Madagascar,Malawi,Mauritania,Mexico,Mongolia,Mozambique,Myanmar,Namibia,Nepal,Nicaragua,Niger,Occupied Palestinian Territory,Pakistan,Panama,Peru,Philippines,Republic of Moldova,Russian Federation,Samoa,Senegal,Somalia,Sri Lanka,Tajikistan,Timor-Leste,Togo,Tunisia,Uganda,Uruguay,Viet Nam,Zambia,Zimbabwe
19971001,,,,,,6.12,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,1.11,,,,1.73,3.53,,,,3.78,,,,,,,,,,,19.69,,,,,
19971101,,,,,,5.99,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,1.38,,,,1.52,3.75,,,,3.74,,,,,,,,,,,19.37,,,,,
19971201,,,,,,5.89,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,,,,,,,1.65,,,,1.34,3.63,,,,3.76,,,,,,,,,,,18.99,,,,,
19980101,,,,,,5.77,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54,,,,,,,1.72,,,,1.2,3.69,,,,3.74,,,,,,,,,,,19.55,,,,,
19980201,,,,,,5.77,,,,,,,,,,,,,,,,,,,,,,,,,,,0.62,,,,,,,1.64,,,,1.29,3.75,,,,3.73,,,,,,,,,,,19.27,,,,,
19980301,,,,,,6.42,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,,,,,,,1.36,,,,1.53,3.86,,,,3.76,,,,,,,,,,,18.95,,,,,
19980401,,,,,,6.64,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,1.09,,,,1.66,4.37,,,,3.8,,,,,,,,,,,19.18,,,,,
19980501,,,,,,6.86,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76,,,,,,,0.93,,,,1.64,4.8,,,,3.79,,,,,,,,,,,19.24,,,,,
19980601,,,,,,6.59,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82,,,,,,,0.98,,,,1.86,4.62,,,,3.74,,,,,,,,,,,18.78,,,,,
19980701,,,,,,6.68,,,,,,,,,,,,,,,,,,,,,,,,,,,0.88,,,,,,,1.04,,,,1.79,4.97,,,,3.72,,,,,,,,,,,19.09,,,,,
19980801,,,,,,6.58,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83,,,,,,,1.35,,,,1.59,4.86,,,,3.68,,,,,,,,,,,19.36,,,,,
19980901,,,,,,6.44,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,,,,,,,1.51,,,,1.35,4.57,,,,3.59,,,,,,,,,,,20.42,,,,,
19981001,,,,,,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76,,,,,,,1.55,,,,1.25,3.37,,,,3.62,,,,,,,,,,,21.26,,,,,
19981101,,,,,,6.28,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76,,,,,,,1.68,,,,1.61,3,,,,3.61,,,,,,,,,,,20.48,,,,,
19981201,,,,,,6.13,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,,1.51,,,,1.54,2.86,,,,3.59,,,,,,,,,,,20.6,,,,,
19990101,,,,,,5.21,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,,1.62,,,,1.52,2.98,,,,3.48,,,,,,,,,,,20.68,,,,,
